decile1b,decile3,decile1,race,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,sex,tier,index6040,dropout,pass_bar
5,6,6,1,3,38,3.5,0.03,68,0.21,1,4,-61,0,0,3,792.105244,0,1
9,3,9,1,2,37,2.4,0.89,64,-0.82,1,4,-57,0,1,2,666.315771,0,1
4,4,5,1,3,36,2.9,-0.21,68,-0.54,1,4,-66,0,0,3,700.526298,0,1
3,4,4,1,4,40,2.9,-0.47,50,-0.39,1,3,-48,0,0,5,763.68419,0,1
4,4,4,1,3,30.5,3.7,-0.39,68,-0.31,1,3,-61,0,0,3,693.6841965,0,1
7,8,7,1,3,37,2.9,0.48,67,0.55,1,5,-60,0,1,3,716.315771,0,1
9,8,10,1,1,34,2.9,1.31,68,0.64,1,2,-61,0,0,4,668.947352,0,1
7,9,8,1,2,27.7,3.6,0.55,68,1.07,1,4,-61,0,0,2,639.4736721,0,1
10,10,10,1,1,41,3.4,1.43,62,1.55,1,3,-55,0,1,4,829.473663,0,1
1,1,1,1,1,33,3.5,-1.72,68,-2.1,1,4,-61,0,1,4,713.157879,0,1
2,3,3,1,3,30,3.2,-0.8,51,-0.7,1,3,-49,0,1,3,635.78946,0,1
4,3,5,1,3,35,2.8,-0.23,68,-0.62,1,4,-61,0,0,3,674.736825,0,1
3,3,3,1,1,41,3.1,-0.72,67,-0.64,1,2,-60,0,1,4,799.473663,0,1
2,4,3,1,3,38,2.8,-0.82,69,-0.32,1,3,-62,0,0,3,722.105244,0,1
7,4,7,0,1,31,3.1,0.35,70,-0.38,1,3,-68,0,1,4,641.578933,0,1
9,10,9,1,1,42,3.4,1.13,69,1.31,1,3,-62,0,1,4,845.263136,0,1
10,9,10,1,5,42,3.8,1.56,54,0.94,1,4,-47,0,0,6,885.263136,0,1
9,9,9,1,3,42,3.4,1,69,0.92,1,4,-62,0,1,3,845.263136,0,1
9,6,9,0,3,35,2.8,0.96,68,0.05,1,3,-61,0,1,3,674.736825,0,1
10,10,10,1,1,42,2.7,1.77,66,2.02,1,4,-59,0,1,4,775.263136,0,1
8,9,9,1,3,36,3.6,0.84,68,0.88,1,4,-61,0,0,3,770.526298,0,1
2,3,2,1,3,34,3.1,-0.99,67,-0.86,1,3,-60,0,0,3,688.947352,0,1
6,5,6,0,6,33,2.3,0.16,64,-0.29,1,2,-62,0,0,1,593.157879,0,1
7,9,8,1,3,35,2.5,0.53,67,0.92,1,4,-65,0,1,3,644.736825,0,1
9,7,10,1,1,44,3.3,1.3,59,0.52,1,2,-52,0,0,4,866.842082,0,1
8,8,8,1,3,43,3.6,0.71,67,0.71,1,3,-60,0,0,3,881.052609,0,1
9,5,9,1,1,42,3.4,0.94,68,-0.14,1,5,-61,0,1,4,845.263136,0,1
5,6,6,0,6,30,2.8,0.05,67,0.06,1,2,-60,0,0,1,595.78946,0,0
9,10,9,1,1,40,3.2,1.25,69,1.3,1,3,-62,0,0,4,793.68419,0,1
6,6,6,0,4,36,3.5,0.17,68,0.07,1,3,-66,0,1,5,760.526298,0,1
9,10,9,1,1,36,3.4,1.26,61,1.43,1,4,-54,0,0,4,750.526298,0,1
4,2,4,1,1,35,3.6,-0.42,69,-0.88,1,3,-67,0,1,4,754.736825,0,1
9,2,9,1,1,45,3,1.16,68,-1.13,1,4,-61,0,1,4,852.631555,0,1
4,6,4,1,3,40,3.1,-0.41,67,-0.02,1,4,-60,0,0,3,783.68419,0,1
1,3,2,0,3,25.7,3.1,-1.2,56,-0.71,1,2,-54,0,1,3,557.8947261,0,1
5,4,5,1,1,42,3.1,-0.11,69,-0.36,1,4,-62,0,1,4,815.263136,0,1
7,7,7,1,1,42,3.4,0.48,69,0.55,1,5,-62,0,0,4,845.263136,0,1
3,3,3,1,1,40,3.5,-0.61,68,-0.6,1,3,-61,0,0,4,823.68419,0,1
10,9,10,1,4,39,3,1.35,56,1.08,1,5,-49,0,1,5,757.894717,0,1
5,7,6,0,3,35,3.6,0.03,69,0.28,1,4,-62,0,0,3,754.736825,0,1
2,1,2,0,3,30,3.2,-0.98,66,-1.41,1,2,-64,0,1,3,635.78946,0,1
9,10,9,1,4,38,2.9,1.16,67,1.65,1,4,-60,0,0,5,732.105244,0,1
8,8,8,1,2,28,2.8,0.67,59,0.58,1,5,-52,0,0,2,564.210514,0,1
6,7,6,1,3,33,3.7,0.13,69,0.29,1,3,-62,0,1,3,733.157879,0,1
1,1,2,0,5,29.5,3.3,-1.21,69,-1.76,1,3,-62,0,0,6,637.8947235,0,1
5,8,5,1,3,37,2.9,-0.03,64,0.62,1,4,-57,0,0,3,716.315771,0,1
5,5,5,1,4,37,3.2,-0.08,64,-0.06,2,3,-62,1,1,5,746.315771,0,1
2,2,2,0,3,25.5,3,-0.91,69,-1.21,1,4,-62,0,0,3,544.7368315,0,1
10,10,10,1,1,40,3.8,1.75,68,1.73,1,2,-61,0,1,4,853.68419,0,1
5,6,5,1,1,39,3.3,-0.04,53,0.17,1,1,-46,0,1,4,787.894717,0,1
3,6,3,1,4,46,3.4,-0.56,69,0.1,1,4,-62,0,0,5,908.421028,0,1
2,2,3,1,3,37,3,-0.7,64,-0.92,1,4,-57,0,0,3,726.315771,0,1
10,8,10,1,3,35,3.5,1.56,63,0.8,1,4,-56,0,0,3,744.736825,0,1
4,7,4,1,4,37,3.2,-0.3,50,0.39,2,3,-43,1,0,5,746.315771,0,1
10,9,10,1,4,40,2.8,2,69,1.07,1,4,-62,0,1,5,753.68419,0,1
4,5,4,1,2,36,2.8,-0.36,63,-0.24,1,5,-56,0,1,2,690.526298,0,1
6,7,7,1,3,34,2.8,0.26,69,0.32,1,4,-62,0,1,3,658.947352,0,1
5,4,5,0,1,35,2.8,-0.12,67,-0.27,1,2,-60,0,0,4,674.736825,0,1
2,3,3,1,3,36,3.1,-0.74,58,-0.84,1,3,-51,0,1,3,720.526298,0,1
1,3,2,1,4,41,3.4,-1.21,65,-0.75,1,3,-58,0,1,5,829.473663,0,1
10,10,10,1,3,34,3.1,1.73,68,1.58,1,4,-61,0,1,3,688.947352,0,1
10,8,10,1,3,36.5,2.6,1.47,67,0.8,1,4,-60,0,0,3,678.4210345,0,1
7,5,7,0,3,31,3.4,0.33,64,-0.22,1,3,-57,0,1,3,671.578933,0,1
10,10,10,1,1,41,2.9,1.54,59,1.54,1,4,-52,0,1,4,779.473663,0,1
2,3,3,1,3,31.5,3,-0.83,63,-0.58,1,4,-61,0,1,3,639.4736695,0,1
9,9,9,1,1,38,3.4,0.96,70,1.15,1,4,-63,0,0,4,782.105244,0,1
3,5,3,1,4,42,3.8,-0.56,70,-0.22,1,3,-63,0,0,5,885.263136,0,1
1,1,1,0,1,29.5,2.3,-1.42,68,-2.18,1,4,-61,0,1,4,537.8947235,0,0
6,8,7,1,3,34,3.6,0.27,62,0.81,1,3,-55,0,1,3,738.947352,0,1
4,6,4,1,3,38,3.2,-0.36,52,0.01,2,4,-45,1,1,3,762.105244,0,1
5,6,5,1,4,41,3.5,-0.14,68,0.11,1,5,-61,0,1,5,839.473663,0,1
7,8,7,1,1,42,3.5,0.54,57,0.6,1,3,-50,0,1,4,855.263136,0,1
6,5,6,1,1,38.5,3.3,0.18,68,-0.05,1,4,-61,0,1,4,779.9999805,0,1
4,4,4,1,3,24,3.1,-0.39,64,-0.49,1,4,-57,0,0,3,531.052622,0,1
7,3,7,1,2,31,2.7,0.33,61,-0.82,2,2,-54,1,1,2,601.578933,0,1
8,4,8,1,4,40,3.2,0.71,69,-0.39,1,4,-62,0,1,5,793.68419,0,1
4,4,5,1,1,32,3.2,-0.2,68,-0.4,1,4,-61,0,1,4,667.368406,0,1
3,4,3,0,4,39,3.6,-0.57,63,-0.34,1,1,-61,0,1,5,817.894717,0,1
9,10,9,1,3,45,2.9,0.92,70,1.37,1,2,-63,0,0,3,842.631555,0,1
4,3,4,0,1,44,3.5,-0.29,68,-0.83,1,2,-61,0,0,4,886.842082,0,1
10,9,10,1,1,44,3,1.4,68,1.12,1,4,-61,0,1,4,836.842082,0,1
10,10,10,1,1,43,3.3,1.8,65,2.02,2,3,-58,1,0,4,851.052609,0,1
4,4,5,1,4,35,3.3,-0.21,61,-0.43,1,2,-59,0,0,5,724.736825,0,1
8,5,8,1,1,40,3,0.76,68,-0.19,1,3,-61,0,0,4,773.68419,0,1
9,10,9,1,4,34.5,3.4,1.16,68,1.33,1,4,-61,0,0,5,726.8420885,0,1
2,2,2,1,2,35,3.2,-0.9,69,-0.97,1,3,-67,0,1,2,714.736825,0,1
10,10,10,1,1,38,3.7,1.69,64,1.7,1,3,-57,0,1,4,812.105244,0,1
4,4,4,1,4,45,3.1,-0.37,68,-0.48,1,3,-61,0,1,5,862.631555,0,1
9,10,10,0,3,33,3.6,1.28,68,1.6,1,3,-61,0,0,3,723.157879,0,1
9,9,9,0,4,40,3.5,0.91,55,1.04,2,1,-48,1,1,5,823.68419,0,1
10,10,10,1,5,44,3.2,1.65,65,1.52,1,4,-58,0,0,6,856.842082,0,1
8,9,8,1,1,32,3.6,0.69,49,1.28,1,2,-42,0,0,4,707.368406,0,1
4,3,4,0,1,34,3,-0.24,68,-0.58,1,3,-61,0,0,4,678.947352,0,1
7,6,7,1,3,26.5,3,0.39,68,0.13,1,4,-61,0,0,3,560.5263045,0,0
3,5,3,1,4,35,2.9,-0.56,64,-0.12,2,4,-57,1,0,5,684.736825,0,1
7,6,7,1,4,37,3.4,0.43,68,0.19,1,4,-61,0,0,5,766.315771,0,1
2,3,2,0,5,42,3.7,-0.96,69,-0.73,1,4,-62,0,0,6,875.263136,0,1
2,1,3,1,3,37,2.2,-0.8,60,-1.42,1,4,-53,0,0,3,646.315771,0,1
4,4,4,1,1,40,3.5,-0.41,69,-0.33,1,5,-62,0,0,4,823.68419,0,1
7,8,7,1,4,43,3.5,0.46,69,0.58,1,3,-62,0,1,5,871.052609,0,1
5,4,5,1,2,33,2.7,-0.1,68,-0.59,1,4,-61,0,1,2,633.157879,0,1
5,4,5,1,1,40,3.5,-0.07,69,-0.52,1,4,-62,0,1,4,823.68419,0,1
7,8,7,1,1,35,3.4,0.53,66,0.59,1,3,-59,0,1,4,734.736825,0,1
5,8,5,1,4,33,3.6,-0.01,68,0.59,1,3,-61,0,1,5,723.157879,0,1
1,1,1,0,1,28,2.8,-1.31,68,-1.64,1,3,-61,0,0,4,564.210514,0,1
3,3,4,0,3,30,2.4,-0.45,66,-0.66,1,3,-59,0,1,3,555.78946,0,1
4,6,4,1,1,38,3,-0.25,49,0.21,1,3,-42,0,1,4,742.105244,0,1
3,2,3,0,1,39,2.8,-0.6,69,-1.12,1,3,-62,0,1,4,737.894717,0,0
1,1,1,0,1,24,2.6,-2.07,69,-2.06,1,3,-62,0,0,4,481.052622,0,1
3,3,4,1,2,30,3.2,-0.48,69,-0.89,1,3,-62,0,1,2,635.78946,0,1
5,4,5,0,4,31,3.4,-0.16,67,-0.36,1,4,-60,0,1,5,671.578933,0,1
8,8,8,1,1,36,3.6,0.68,69,0.62,1,3,-62,0,1,4,770.526298,0,1
2,5,2,1,2,31,3.2,-0.9,62,-0.27,1,4,-55,0,0,2,651.578933,0,1
8,7,8,1,4,36,3.6,0.66,59,0.29,2,3,-52,1,1,5,770.526298,0,1
6,8,6,1,4,38,3.5,0.13,67,0.58,1,4,-60,0,1,5,792.105244,0,1
5,6,5,1,5,43,3.3,-0.11,69,0.11,1,5,-62,0,0,6,851.052609,0,1
2,1,2,0,1,30,3.3,-0.92,70,-1.42,1,4,-63,0,0,4,645.78946,0,1
9,7,9,1,3,39,3.2,1.02,68,0.55,1,5,-61,0,1,3,777.894717,0,1
5,6,6,0,3,35,3.3,0.01,67,0.04,1,4,-60,0,0,3,724.736825,0,1
10,10,10,1,4,45,3.6,1.58,69,1.5,1,4,-62,0,1,5,912.631555,0,1
8,7,8,1,1,41,3.3,0.63,66,0.44,1,4,-59,0,1,4,819.473663,0,1
4,2,4,1,2,34,2.5,-0.4,68,-1.09,1,4,-61,0,1,2,628.947352,0,1
7,4,7,1,4,38,3,0.41,69,-0.28,1,4,-62,0,1,5,742.105244,0,1
10,10,10,1,3,37,3.6,2.05,68,2.17,1,5,-61,0,0,3,786.315771,0,1
7,6,8,1,1,39,3.5,0.59,59,0.17,1,2,-52,0,1,4,807.894717,0,1
7,7,7,1,1,35,2.9,0.4,69,0.53,1,4,-62,0,1,4,684.736825,0,1
4,6,5,1,3,29.5,3.5,-0.24,60,-0.02,1,4,-53,0,1,3,657.8947235,0,1
5,3,5,1,3,31,3.6,-0.03,68,-0.63,2,4,-61,1,1,3,691.578933,0,1
8,9,8,1,3,44,3,0.71,46,0.91,1,4,-39,0,0,3,836.842082,0,1
10,9,10,1,1,39,3.5,1.44,68,1.06,1,4,-61,0,1,4,807.894717,0,1
10,10,10,1,3,44,2.5,1.52,65,1.53,1,4,-58,0,1,3,786.842082,0,1
5,5,5,1,3,34.5,3.3,-0.02,67,-0.23,1,3,-60,0,0,3,716.8420885,0,1
2,4,2,1,1,39,2.6,-1,61,-0.34,1,4,-59,0,1,4,717.894717,0,1
3,3,3,1,1,38,3,-0.73,69,-0.79,1,4,-62,0,1,4,742.105244,0,1
6,7,6,1,3,39,3.2,0.05,68,0.26,1,4,-61,0,1,3,777.894717,0,1
6,6,6,1,3,30,3.3,0.16,69,0.16,1,4,-62,0,1,3,645.78946,0,1
2,3,2,1,3,35,2.6,-0.85,65,-0.72,1,4,-58,0,0,3,654.736825,0,1
10,9,10,1,4,39,3.8,1.57,64,1.07,1,2,-57,0,0,5,837.894717,0,1
8,8,8,1,5,43,2.2,0.83,68,0.62,1,5,-61,0,1,6,741.052609,0,1
2,2,2,1,1,39,3.1,-0.83,69,-1.31,1,3,-62,0,0,4,767.894717,0,1
10,6,10,1,5,47,3.1,1.5,69,0.19,1,4,-62,0,1,6,894.210501,0,1
7,9,7,0,1,41,3.4,0.5,69,1.19,1,3,-62,0,0,4,829.473663,0,1
4,5,4,1,1,39,3.3,-0.31,68,-0.18,1,4,-61,0,0,4,787.894717,0,1
1,1,1,1,3,35,2.9,-1.36,61,-1.57,1,3,-54,0,0,3,684.736825,0,1
4,4,4,1,1,37,3.6,-0.31,67,-0.53,1,3,-65,0,1,4,786.315771,0,1
7,5,7,0,4,35,3.9,0.38,46,-0.06,1,3,-44,0,1,5,784.736825,0,1
9,8,9,1,4,46,3.3,1.04,66,0.75,1,3,-59,0,0,5,898.421028,0,1
5,6,5,1,3,40,2.9,-0.05,69,0,1,4,-62,0,1,3,763.68419,0,1
7,9,7,1,5,41,3.1,0.57,64,0.91,1,4,-57,0,1,6,799.473663,0,1
1,1,1,0,5,30,2.8,-1.85,65,-1.73,1,2,-58,0,1,6,595.78946,0,1
1,2,1,1,5,45,3.5,-1.49,68,-1.2,1,4,-61,0,0,6,902.631555,0,1
6,7,6,1,3,38,2.7,0.17,67,0.46,1,3,-65,0,0,3,712.105244,0,1
1,1,2,0,4,41,3.6,-1.23,69,-1.7,1,2,-62,0,0,5,849.473663,0,1
7,8,7,1,5,43,3.9,0.44,69,0.6,1,4,-62,0,1,6,911.052609,0,1
8,8,8,1,3,40,2.8,0.64,66,0.84,1,4,-59,0,0,3,753.68419,0,1
8,8,8,1,3,44,3.2,0.75,67,0.71,1,3,-65,0,1,3,856.842082,0,1
1,2,1,1,1,33.5,3.3,-1.5,52,-1.31,1,3,-45,0,0,4,701.0526155,0,1
9,8,9,1,1,42,3.5,1.14,67,0.66,1,3,-60,0,1,4,855.263136,0,1
6,6,6,1,3,38,3.2,0.16,67,0.18,1,4,-60,0,0,3,762.105244,0,1
2,1,2,0,5,42,3.2,-1.03,69,-1.57,1,3,-62,0,0,6,825.263136,0,1
8,8,8,1,1,42,3.5,0.83,66,0.72,1,3,-59,0,0,4,855.263136,0,1
1,2,1,1,3,31.5,3.1,-1.72,49,-1.01,1,3,-42,0,1,3,649.4736695,0,1
9,10,9,1,1,33,2.6,1.28,64,1.99,1,3,-57,0,1,4,623.157879,0,1
3,1,3,1,3,30,3.1,-0.69,69,-1.68,1,4,-62,0,1,3,625.78946,0,1
6,6,6,1,3,25.3,3.1,0.09,67,0.05,1,4,-60,0,1,3,551.5789369,0,1
3,2,4,1,1,41,3.6,-0.49,69,-0.94,1,2,-62,0,1,4,849.473663,0,1
10,9,10,1,1,41,3.6,1.36,68,1.22,1,4,-61,0,1,4,849.473663,0,1
2,3,2,1,3,40,2.9,-0.99,69,-0.57,1,4,-62,0,0,3,763.68419,0,1
2,2,2,1,1,34,3.5,-0.93,69,-1.28,1,4,-62,0,0,4,728.947352,0,1
9,8,9,1,4,45,3.6,1.04,70,0.72,1,4,-63,0,0,5,912.631555,0,1
7,6,7,1,1,39,3.6,0.44,69,0.28,1,2,-62,0,1,4,817.894717,0,1
2,5,3,1,4,36,3.5,-0.78,68,-0.08,1,2,-66,0,0,5,760.526298,0,1
5,5,5,1,1,34,3.8,-0.01,69,-0.21,1,2,-62,0,0,4,758.947352,0,1
1,3,2,1,2,32.5,2.3,-1.13,67,-0.64,1,4,-60,0,1,2,585.2631425,0,1
6,6,6,1,3,36,2.7,0.2,69,-0.02,1,4,-62,0,1,3,680.526298,0,1
4,6,5,0,3,29,3.6,-0.22,66,0.01,1,3,-59,0,0,3,659.999987,0,1
3,2,3,1,5,39,3.8,-0.77,65,-0.9,1,3,-58,0,0,6,837.894717,0,1
3,2,4,0,4,33,2.7,-0.48,68,-1.05,1,3,-61,0,1,5,633.157879,0,1
3,2,3,1,3,35,2.8,-0.58,47,-1.13,1,3,-40,0,0,3,674.736825,0,1
8,8,8,1,2,32.5,2.7,0.61,67,0.75,1,3,-60,0,1,2,625.2631425,0,1
4,4,5,1,3,38,3.6,-0.19,69,-0.35,1,4,-67,0,1,3,802.105244,0,1
2,2,2,0,3,30,2.5,-0.88,65,-0.96,1,3,-63,0,1,3,565.78946,0,1
5,6,5,1,3,38,3.5,-0.07,69,0.13,1,4,-67,0,0,3,792.105244,0,1
5,6,5,1,1,34,3.6,-0.03,65,0.11,1,4,-58,0,1,4,738.947352,0,1
7,8,7,1,5,38,3.8,0.48,68,0.77,1,4,-61,0,0,6,822.105244,0,1
4,5,4,1,3,41,2.6,-0.3,69,-0.18,1,5,-62,0,1,3,749.473663,0,1
7,7,7,1,3,39,3.8,0.31,66,0.31,1,4,-59,0,0,3,837.894717,0,1
10,10,10,1,3,40,3.1,1.62,68,1.49,1,4,-61,0,1,3,783.68419,0,1
7,6,7,1,3,27.7,3.3,0.33,63,0.08,1,3,-56,0,1,3,609.4736721,0,1
4,4,4,1,1,34,3.6,-0.42,68,-0.53,1,3,-62,0,1,4,738.947352,0,1
3,5,3,1,5,39,3.3,-0.59,69,-0.08,1,4,-62,0,0,6,787.894717,0,1
9,10,9,1,4,39,3.4,1.12,49,1.5,1,4,-42,0,0,5,797.894717,0,1
6,6,6,1,3,39,3.3,0.08,66,-0.01,1,3,-64,0,1,3,787.894717,0,1
2,3,2,0,1,37,2.9,-0.98,70,-0.69,1,3,-68,0,0,4,716.315771,0,1
2,3,2,1,3,38,2.5,-0.91,68,-0.81,1,4,-61,0,1,3,692.105244,0,1
2,4,3,0,1,36,3.2,-0.76,69,-0.5,1,3,-62,0,0,4,730.526298,0,1
4,9,4,1,4,35,2.7,-0.28,65,1.07,1,4,-58,0,0,5,664.736825,0,1
9,10,9,1,3,42,3,1.02,67,1.39,1,4,-60,0,1,3,805.263136,0,1
6,7,6,1,4,45,3.6,0.23,69,0.5,1,4,-62,0,0,5,912.631555,0,1
5,4,5,0,3,27,3.6,-0.1,69,-0.3,1,3,-62,0,1,3,628.421041,0,1
1,1,1,0,5,35,2.9,-2.12,68,-2.44,1,5,-62,0,1,6,684.736825,0,0
1,2,1,1,1,43,3.4,-1.33,67,-1,1,3,-60,0,1,4,861.052609,0,1
8,9,9,1,1,38,3.6,0.9,52,1.12,1,3,-45,0,1,4,802.105244,0,1
1,1,2,0,3,34,3.6,-1.26,69,-1.56,1,4,-62,0,1,3,738.947352,0,1
4,2,5,1,1,40,2.9,-0.18,66,-1.02,1,3,-59,0,0,4,763.68419,0,1
10,10,10,1,1,45,3.4,1.68,59,2.04,1,3,-52,0,0,4,892.631555,0,1
5,5,5,1,4,34,3.6,-0.1,68,-0.2,1,3,-61,0,0,5,738.947352,0,1
2,1,3,1,3,30.7,2.6,-0.78,62,-1.38,2,4,-55,1,1,3,586.8420911,0,1
5,2,6,1,2,33,2.9,0.04,61,-1.12,1,4,-59,0,1,2,653.157879,0,1
7,6,7,1,4,33.5,2.9,0.38,57,0.19,2,3,-50,1,0,5,661.0526155,0,1
10,10,10,1,1,35,3.6,1.6,68,1.56,1,4,-61,0,1,4,754.736825,0,1
6,7,6,1,4,43,3.5,0.21,59,0.53,1,4,-52,0,1,5,871.052609,0,1
8,7,8,1,3,34,3.2,0.75,67,0.47,1,3,-60,0,1,3,698.947352,0,1
2,1,2,0,4,29,2.8,-0.96,68,-1.44,1,2,-61,0,0,5,579.999987,0,1
7,6,7,0,3,30,3.5,0.33,63,0.01,1,4,-61,0,1,3,665.78946,0,1
5,4,5,1,3,40,3.1,-0.16,69,-0.48,1,4,-62,0,1,3,783.68419,0,1
3,4,3,1,1,38,3.4,-0.73,69,-0.34,1,3,-62,0,0,4,782.105244,0,1
10,10,10,1,3,39,3.5,1.96,49,1.85,2,3,-42,1,0,3,807.894717,0,1
6,9,6,1,3,33,3.5,0.17,68,1.07,1,3,-61,0,0,3,713.157879,0,1
7,5,7,1,3,39,2.9,0.49,69,-0.03,1,3,-62,0,1,3,747.894717,0,1
3,2,3,0,3,20.7,2.4,-0.67,66,-1.3,2,2,-59,1,1,3,408.9473611,0,1
8,10,8,1,3,46,3.4,0.79,68,1.33,1,4,-61,0,0,3,908.421028,0,1
9,9,9,1,1,37,3.7,1.12,64,1.17,1,3,-57,0,1,4,796.315771,0,1
1,1,1,1,3,35,3.4,-1.32,67,-1.41,1,4,-66,0,1,3,734.736825,0,1
6,7,7,0,6,27,2.3,0.28,68,0.32,1,4,-61,0,0,1,498.421041,0,1
7,8,7,1,3,33,3.3,0.51,65,0.56,1,3,-58,0,0,3,693.157879,0,1
7,5,7,1,1,35,3.2,0.38,56,-0.11,2,3,-54,1,1,4,714.736825,0,1
4,3,5,0,1,33,2.3,-0.22,69,-0.74,1,4,-62,0,1,4,593.157879,0,1
10,9,10,1,3,33.5,3.5,1.56,68,1,1,4,-61,0,0,3,721.0526155,0,1
8,7,9,1,3,40,3.2,0.84,65,0.5,1,4,-58,0,1,3,793.68419,0,1
5,6,5,0,4,43,2.9,-0.02,62,0.06,1,5,-55,0,1,5,811.052609,0,1
8,6,8,1,2,36,3.2,0.76,66,0.16,1,2,-59,0,1,2,730.526298,0,1
5,4,5,1,4,29.5,3.7,-0.01,64,-0.25,1,3,-62,0,1,5,677.8947235,0,1
2,2,3,0,1,32,2.7,-0.79,67,-1.11,1,4,-60,0,0,4,617.368406,0,0
8,9,8,1,5,44,2.7,0.82,68,0.86,1,5,-61,0,1,6,806.842082,0,1
9,10,9,1,1,41,3.5,1.22,65,1.64,1,4,-58,0,0,4,839.473663,0,1
2,2,2,1,1,44,2.7,-0.98,66,-1.29,1,2,-59,0,1,4,806.842082,0,1
3,3,3,1,2,29.5,3.1,-0.6,69,-0.87,1,3,-62,0,1,2,617.8947235,0,1
8,7,8,1,4,37,3.3,0.84,66,0.48,1,4,-59,0,0,5,756.315771,0,1
3,5,3,1,3,41,3.5,-0.6,69,-0.07,1,5,-67,0,1,3,839.473663,0,1
4,3,4,0,3,33,2.3,-0.35,67,-0.67,1,3,-60,0,1,3,593.157879,0,1
6,6,7,1,1,36,3.2,0.32,69,0.03,1,3,-62,0,1,4,730.526298,0,1
1,2,2,1,4,37,3.4,-1.2,70,-0.86,1,3,-63,0,1,5,766.315771,0,1
10,10,10,1,4,45,2.9,2.06,71,1.84,1,4,-64,0,0,5,842.631555,0,1
7,8,7,1,1,40,3.4,0.36,63,0.64,1,3,-56,0,1,4,813.68419,0,1
10,6,10,0,5,44,3.6,2.01,68,0.13,1,4,-61,0,1,6,896.842082,0,1
